x y
1494.9225484620247 1502.5858139299373
1481.229212820788 1496.9859827571813
789.7760389446811 1098.0112448436012
1492.6695017207737 1501.303895643787
1503.9293285185959 1499.252342708763
595.2451425069133 699.1176791328724
795.0522146647883 1101.7051509124776
794.4084051167023 1108.92059082029
1503.0474898393504 1501.5785859676419
1504.3704044871802 1493.8287789899646
599.3101462391686 694.7221264906307
786.0180517941083 1092.5937783682632
600.0135236123373 710.5867817684215
614.5562266383521 701.3669861160497
793.5388466902858 1089.0312559324673
800.9579539882943 1113.7490432973473
599.0613295821993 691.8445225873406
1522.477958867867 1519.8786628677874
826.9129349753292 1092.7055285039216
1487.2896678692057 1492.339078119806
606.705748244593 712.3065041637172
601.0471873676316 702.1119249701713
788.3257030865173 1100.7332758739662
787.716626172568 1084.4693903652328
595.2981442494149 713.1144945886263
615.7428012148001 705.5029406393121
1493.3306365726692 1497.642177148078
605.0641656169162 704.2616713779421
1507.6072696041376 1495.4886229392173
790.4653059637253 1112.621355351984
